"SA22018_V1_00_NAME","pop","age_0_4"
"Akatarawa",648,24
"Alicetown-Melling",2796,189
"Aorangi Forest",1464,75
"Aotea",3144,252
"Arakura",2790,258
"Aro Valley",3759,96
"Ascot Park",2859,252
"Avalon East",2469,177
"Avalon West",2631,147
"Belmont (Lower Hutt City)",2685,165
"Belmont Park",336,24
"Berhampore",3864,246
"Birchville-Brown Owl",3516,219
"Boulcott",2616,132
"Brentwood (Upper Hutt City)",2235,171
"Broadmeadows",1629,114
"Brooklyn East",2718,144
"Brooklyn North",2214,90
"Brooklyn South",1785,129
"Camborne",2004,132
"Cameron and Soldiers Park",2157,123
"Cannons Creek East",3873,366
"Cannons Creek North",3477,369
"Cannons Creek South",1623,135
"Carterton North",2523,108
"Carterton South",2811,144
"Churton Park North",3855,246
"Churton Park South",3393,240
"Clouston Park",2283,153
"Courtenay",1731,24
"Crofton Downs",1638,84
"Delaney",2598,222
"Dixon Street",4182,48
"Douglas Park",2025,120
"Eastbourne",2709,147
"Eastern Bays",2076,75
"Ebdentown",2481,141
"Elderslea",3432,204
"Elsdon-Takapuwahia",2418,207
"Endeavour",4614,336
"Epuni East",2958,207
"Epuni West",3084,204
"Evans Bay",1125,48
"Featherston",2487,171
"Forest Lakes (Kapiti Coast District)",666,21
"Gladstone (Carterton District)",870,63
"Glendale",4056,330
"Gracefield",138,6
"Grenada North",2283,135
"Grenada Village",1707,156
"Greytown",2466,135
"Hataitai North",4035,177
"Hataitai South",1458,66
"Heretaunga",2505,159
"Homebush-Te Ore Ore",1047,57
"Homedale East",3054,249
"Homedale West",2631,207
"Houghton Bay",1680,102
"Hutt Central North",954,45
"Hutt Central South",3222,114
"Island Bay East",3522,174
"Island Bay West",3384,216
"Johnsonville Central",2808,198
"Johnsonville North",3246,255
"Johnsonville South",1695,102
"Johnsonville West",3369,219
"Kahutara",1032,57
"Kapiti Island",0,0
"Karaka Bay-Worser Bay",1503,81
"Karori East",3564,153
"Karori North",2589,120
"Karori Park",4584,327
"Karori South",4524,234
"Kelburn",2157,57
"Kelson",2838,228
"Khandallah North",2721,159
"Khandallah Reserve",2031,84
"Khandallah South",2010,99
"Kilbirnie Central",2691,111
"Kilbirnie East",2151,159
"Kingston-Mornington-Vogeltown",3162,219
"Kokotau",1218,69
"Kopuaranga",912,51
"Korokoro",1485,123
"Kuripuni",1647,99
"Lansdowne East",2718,159
"Lansdowne West",1596,96
"Linden",3255,246
"Lyall Bay",2673,156
"Makara-Ohariu",948,39
"Mana Island",0,0
"Mangaroa",2028,99
"Manor Park",414,21
"Manuka",1725,90
"Maoribank",3318,261
"Mara",3,0
"Martinborough",1770,114
"Masterton Central",711,57
"Maungakotukutuku",1332,57
"Maungaraki",3984,291
"Maupuia",1584,78
"McJorrow Park",1677,132
"Melrose",1305,66
"Miramar Central",1977,108
"Miramar East",2997,195
"Miramar North",1347,102
"Miramar South",3510,198
"Moera",1620,108
"Mount Cook East",2631,39
"Mount Cook West",4221,93
"Mount Holdsworth",1773,99
"Mount Victoria",4506,96
"Naenae Central",3420,231
"Naenae North",2529,195
"Naenae South",2745,264
"Newlands North",3846,288
"Newlands South",3984,270
"Newtown North",2121,78
"Newtown South",3651,216
"Newtown West",3420,126
"Ngaio North",2541,177
"Ngaio South",3087,183
"Ngaumutawa",1488,90
"Normandale",2016,126
"Northland (Wellington City)",3552,162
"Onepoto",1914,150
"Onslow",1812,129
"Opaki",1140,42
"Oriental Bay",1386,18
"Otaihanga",807,30
"Otaki",3495,213
"Otaki Beach",1812,117
"Otaki Forks",777,30
"Owhiro Bay",1998,108
"Paekakariki",1755,72
"Paekakariki Hill",375,15
"Papakowhai",2268,123
"Paparangi",2871,207
"Paraparaumu Beach East",2664,123
"Paraparaumu Beach North",4056,246
"Paraparaumu Beach West",2358,111
"Paraparaumu Central",3993,240
"Paraparaumu East",2259,129
"Paraparaumu North",3549,156
"Paremata",2463,126
"Pauatahanui",969,36
"Peka Peka",615,24
"Pencarrow",651,30
"Petone Central",957,69
"Petone East",3909,201
"Petone Esplanade",2625,156
"Pinehaven",1986,135
"Pipitea-Kaiwharawhara",960,30
"Plimmerton",2139,102
"Poets Block",2472,180
"Porirua Central",264,6
"Porirua East",2232,198
"Postgate",2760,225
"Pukerua Bay",1962,129
"Ranui Heights",1323,102
"Raumati Beach East",2370,108
"Raumati Beach West",2865,162
"Raumati South",3753,210
"Riverstone Terraces",1773,111
"Rongotai",48,0
"Roseneath",1785,51
"Seatoun",2322,117
"Silverstream (Upper Hutt City)",3543,210
"Solway North",2343,150
"Solway South",3459,243
"Southgate",1164,63
"Stokes Valley Central",2121,171
"Stokes Valley North",3429,234
"Strathmore (Wellington City)",3834,261
"Taita North",3084,273
"Taita South",3072,252
"Takapu-Horokiwi",270,15
"Tararua Forest Park",0,0
"Tauherenikau",1347,60
"Tawa Central",2643,150
"Tawa North",3192,216
"Tawa South",3417,177
"Te Horo",1419,48
"Te Marua",975,51
"Thorndon",4014,102
"Tirohanga",1293,69
"Titahi Bay North",2691,192
"Titahi Bay South",3747,312
"Totara Park",2904,192
"Towai",0,0
"Trentham North",3087,195
"Trentham South",1815,45
"Upper Hutt Central",609,36
"Upper Plain",1224,48
"Vivian East",2388,57
"Vivian West",3480,54
"Wadestown",3765,165
"Waikanae Beach",3255,171
"Waikanae East",2394,126
"Waikanae Park",2091,75
"Waikanae West",4377,174
"Wainuiomata Central",1806,105
"Wainuiomata West",3564,243
"Waitangirua",4395,426
"Waitohu",1014,60
"Waiwhetu",4305,267
"Wallaceville",2379,141
"Waterloo East",3099,165
"Waterloo West",2283,126
"Wellington Botanic Gardens",1122,15
"Wellington Central",3003,33
"Wellington University",1494,15
"Whareama",1413,114
"Whitby",3039,204
"Wilton",2199,117
"Woburn",1740,84
"Woodridge",1602,135
